WhdloadName;QueryPatch
AbandonedPlaces;abandoned places a time for heroes
AGE;advanced galactic empire 
AlienBreedStory;alien breed
AllTerrainRacing;atr all terrain racing
APBImage;all points bulletin
Archon;archon the light and the dark
BardsTale;bards tale the tales of the unknown
BasketIslandDemo1AGA;basket island
BasketIslandDemo2AGA;basket island
Battletech;battletech the crescent hawks inception
BlackGoldreLINE;black gold reline
BlastaBallArcadia;blastaball
BundesligaManagerHatt;bundesliga manager hattrick
CannonFodderNewCampaign;cannon fodder
ChuckYeagersAFT2;chuck yeagers advanced flight trainer
Cybernoid;cybernoid the fighting machine
Cycles;cycles the international grand prix racing
Damage;damage the sadistic butchering of humanity
DizzyCollection;dizzy collection
Dune2;dune ii the battle for arrakis
FatalMission;fatal mission 2
FighterBomberAM;fighter bomber
Flaschbier;werner flaschbier
Flipit&Magnose;flip it magnose water carriers from mars
Freedom;freedom rebels in the darkness
FutureWars;future wars time travellers
GrahamGoochSecondInnings;graham goochs second innings
GTSoccerChallenge;graham taylors soccer challenge
Gobliins2;gobliins 2 the prince buffoon
Harpoon&Battleset2;harpoon battleset 2 north atlantic convoys
HATE;hate hostile all terrain encounter
Heimdall2;heimdall 2 into the hall of worlds
Heimdall2AGA;heimdall 2 into the hall of worlds
HellrunMachine;the hellrun machine
IndianaJonesAtlantisAct;indiana jones and the fate of atlantis 560
IndianaJonesAtlantisAdv;indiana jones and the fate of atlantis 558
IndianaJonesLastCrusAct;indiana jones and the last crusade 1228
IndianaJonesLastCrusAdv;indiana jones and the last crusade 559
ItCameFromTheDesert2;antheads it came from the desert ii
KingsQuestEnhanced;kings quest quest for the crown 1765
LeaderBoardTD1;leader board tournament
Magician;magician the
MentalImage1;mental image game disk
MentalImage2;mental image game disk
MarvinsMarvellousAdvAGA;marvins marvellous adventure aga
Mercenary;mercenary i escape from targ and the second city
MonkeyIsland2;monkey island 2 lechucks revenge
NeverEndingStory2;neverending story ii the
OgAGA;trog
Patrician;patrician the
PinballFntsies;pinball fantasies
PipelineNomad;pipeline
PipelineOracle;pipeline
Populous2;populous ii trials of the olympian gods
Populous2&ChallengeGames;populous ii trials of the olympian gods
Populous2&ChallengeGames;populous ii trials of the olympian gods
Powerplay;powerplay the game of the gods
Renegade3;renegade iii the final chapter
R³sselsheim;Russelsheim
RealmsOfArkania;realms of arkania blade of destiny
Reflexity;reflexity pinball challenge
Renegades;renegades deluxe
RipDisk2;burning rubber
Rogue;rogue the adventure game
SensibleSoccerBulldogBlty;sensible soccer england vs germany
SensibleSoccerEuro;sensible soccer v11 european champions
SensibleSoccerIntEd;sensible soccer v12 international edition
Settlers;settlers the
SierraSoccer;sierra soccer world challenge edition
SimCity12;sim city
SimCity512K;sim city
Shuttle;shuttle the space flight simulator
SideWinderArcadia;sidewinder
SkaermtroldenHugoDk;hugo 507
SpaceQuestEnhanced;space quest the sarien encounter 981
SpaceStation;space station oblivion
Subtrade;subtrade return to irata
SuprStrtFtr2TrboAGA;super street fighter ii turbo
Teller;teller the
TripleX;tripple x
TrivialPursuit;trivial pursuit a new beginning
TrivialPursuitNewBegin;trivial pursuit a new beginning
TwinWorld;twinworld land of vision
T-Zer0;t zero
T-Zer0Demo;t zero
T-Zer0DemoAGA;t zero
UniversalMilitarySim;ums universal military simulator
WalkerCrunched;walker
WalkerDecrunched;walker
WinterChallenge;winter challenge world class competition
WCLeaderBoard&DataDisks;world class leader board
WorldClassSoccer;italy 90 soccer
RageCAD;rage v20
RageV2;rage cad software
RoadWarsArcadia;roadwars
SensibleSoccer9293;sensible soccer european champions v11 92 93 edition
TableHockeyArcadia;sporttime table hockey
